zone,investment_priority_score,investment_priority,investment_type,recommended_action,estimated_investment_amount,expected_roi_percent,expected_payback_months,investment_timeline,risk_level,risk_factors,key_performance_indicators,success_metrics,required_resources,growth_category,current_metrics
Vatika Chowk,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,95.02756000000005,12.62791552261259,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 62.45892213893089, 'volume_index': 87.77660695468916, 'revenue': 375053.0, 'market_share': 0.5553333333333333}"
Huda City Centre,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,158.48649367088592,7.571623121979895,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 62.3977250795354, 'volume_index': 89.77871443624869, 'revenue': 412534.0, 'market_share': 0.5680000000000001}"
Noida Sector 18,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,106.66475,11.25020215206992,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 62.06348938399147, 'volume_index': 84.19388830347735, 'revenue': 389016.0, 'market_share': 0.5326666666666667}"
Vinobapuri,71.18181818181819,High Priority,Moderate Growth Investment,High volatility - implement risk mitigation strategies,50000,138.2190588235294,8.68187072183797,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.87747868267207, 'volume_index': 86.72286617492097, 'revenue': 385688.0, 'market_share': 0.5486666666666666}"
Sikanderpur,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,103.50356000000005,11.593804116496084,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.84237102922942, 'volume_index': 90.09483667017912, 'revenue': 391353.0, 'market_share': 0.5700000000000001}"
IGNOU Road,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,247.63950819672132,4.845753445151963,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.816516585794304, 'volume_index': 86.19599578503689, 'revenue': 403924.0, 'market_share': 0.5453333333333333}"
AIIMS,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,243.7498235294118,4.92308048729809,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.80685197878081, 'volume_index': 96.73340358271864, 'revenue': 449519.0, 'market_share': 0.612}"
Badarpur,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,133.2173999999999,9.00783231019372,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.76958861012815, 'volume_index': 97.04952581664912, 'revenue': 448495.0, 'market_share': 0.614}"
Okhla,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,112.81624,10.636766479719586,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.73519031861705, 'volume_index': 87.14436248682824, 'revenue': 409262.0, 'market_share': 0.5513333333333333}"
Lajpat Nagar,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,265.3547857142857,4.522247438537139,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.6785939849046, 'volume_index': 87.03898840885142, 'revenue': 393459.0, 'market_share': 0.5506666666666666}"
Tis Hazari,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,269.71764406779664,4.449097144339456,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.65550386895822, 'volume_index': 88.72497365648051, 'revenue': 407726.0, 'market_share': 0.5613333333333334}"
Greater Noida,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,130.659,9.184212338989278,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.45402923857782, 'volume_index': 91.25395152792412, 'revenue': 443575.0, 'market_share': 0.5773333333333334}"
INA Market,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,255.69372222222225,4.693114831177144,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.42191164601148, 'volume_index': 88.40885142255004, 'revenue': 391989.0, 'market_share': 0.5593333333333333}"
Sohna Road,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,188.25588405797095,6.3743027528981555,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.36681996290277, 'volume_index': 88.72497365648051, 'revenue': 410096.0, 'market_share': 0.5613333333333334}"
Mansarovar Park,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,113.37680000000006,10.58417595134101,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.3419604490541, 'volume_index': 92.41306638566913, 'revenue': 410340.0, 'market_share': 0.5846666666666667}"
Anand Vihar,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,108.57095999999997,11.052679279984263,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.292138898642975, 'volume_index': 90.5163329820864, 'revenue': 401098.0, 'market_share': 0.5726666666666667}"
Udyog Vihar,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,129.98247999999998,9.23201342211658,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.23582638388425, 'volume_index': 94.52054794520548, 'revenue': 442274.0, 'market_share': 0.598}"
Basai Dhankot,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,121.25843999999995,9.896218358078832,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.10632169027038, 'volume_index': 90.83245521601684, 'revenue': 425497.0, 'market_share': 0.5746666666666667}"
Vidhan Sabha,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,99.70599999999999,12.035384029045396,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 61.03841506485479, 'volume_index': 86.9336143308746, 'revenue': 384050.0, 'market_share': 0.5499999999999999}"
MG Road,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,117.10898412698425,10.246865421518896,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.99703954420491, 'volume_index': 86.40674394099051, 'revenue': 385292.0, 'market_share': 0.5466666666666666}"
Jasola,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,231.64921875000002,5.180246264050911,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.88215665858354, 'volume_index': 93.4668071654373, 'revenue': 424511.0, 'market_share': 0.5913333333333333}"
Tughlakabad,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,214.2858333333335,5.599996888890613,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.87296981055242, 'volume_index': 91.5700737618546, 'revenue': 435165.0, 'market_share': 0.5793333333333334}"
Ashram,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,175.61881159420287,6.832980983681885,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.87046859049137, 'volume_index': 92.09694415173868, 'revenue': 427364.0, 'market_share': 0.5826666666666667}"
Ambience Mall,68.45454545454545,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,151.9246470588236,7.898652544082415,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.86686816545193, 'volume_index': 91.99157007376184, 'revenue': 407878.0, 'market_share': 0.582}"
Civil Lines Gurgaon,67.0909090909091,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,153.61786619718302,7.811591383906393,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.67111291164122, 'volume_index': 90.93782929399369, 'revenue': 413951.0, 'market_share': 0.5753333333333334}"
Preet Vihar,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,112.51974603174604,10.664794778877612,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.55881403601921, 'volume_index': 87.67123287671232, 'revenue': 399664.0, 'market_share': 0.5546666666666666}"
RK Puram,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,110.95828000000003,10.81487564515239,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.47999424911508, 'volume_index': 89.56796628029505, 'revenue': 405689.0, 'market_share': 0.5666666666666667}"
Nawada,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,242.2604098360655,4.953347518944695,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.456889805279225, 'volume_index': 92.72918861959958, 'revenue': 397674.0, 'market_share': 0.5866666666666667}"
Samaypur Badli,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,208.06474590163933,5.767435491293123,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.30989562690267, 'volume_index': 92.62381454162276, 'revenue': 422291.0, 'market_share': 0.586}"
Keshav Puram,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,164.6111176470588,7.289908586690416,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.30707555734847, 'volume_index': 91.14857744994733, 'revenue': 428418.0, 'market_share': 0.5766666666666667}"
Khandsa,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,137.8063999999999,8.707868429913276,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 60.02316608306317, 'volume_index': 100.0, 'revenue': 457320.0, 'market_share': 0.6326666666666667}"
Arjangarh,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,114.48521126760565,10.481703153737797,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 59.93501884451453, 'volume_index': 85.35300316122235, 'revenue': 406092.0, 'market_share': 0.54}"
Indraprastha,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,132.6085820895524,9.049188077357039,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 59.906359211820686, 'volume_index': 89.56796628029505, 'revenue': 415594.0, 'market_share': 0.5666666666666667}"
Greater Kailash,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,116.19936,10.327079254137029,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 59.84263696826237, 'volume_index': 94.30979978925184, 'revenue': 415768.0, 'market_share': 0.5966666666666667}"
Ramesh Nagar,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,108.66456000000007,11.043158873509443,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 59.791846405345, 'volume_index': 85.45837723919915, 'revenue': 401278.0, 'market_share': 0.5406666666666666}"
Rajiv Chowk,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,193.1076875,6.214149294289489,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 59.74803801508215, 'volume_index': 87.46048472075869, 'revenue': 407802.0, 'market_share': 0.5533333333333333}"
Dilshad Garden,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,122.26815384615375,9.814493490348461,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 59.68927361654346, 'volume_index': 84.72075869336143, 'revenue': 395820.0, 'market_share': 0.536}"
Bahadurgarh,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,97.76744000000006,12.274024971912931,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 59.60585308204821, 'volume_index': 84.5100105374078, 'revenue': 380322.0, 'market_share': 0.5346666666666666}"
Old Gurgaon,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,148.85319230769224,8.061634294812418,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 59.47237716004357, 'volume_index': 85.03688092729189, 'revenue': 380599.0, 'market_share': 0.538}"
Golf Course Road,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,101.50988000000001,11.821509393962438,Short-term (3-6 months),High Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 59.36650092982703, 'volume_index': 86.19599578503689, 'revenue': 387519.0, 'market_share': 0.5453333333333333}"
Madipur,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,174.9205,6.860259374973202,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.991071502186784, 'volume_index': 96.83877766069548, 'revenue': 434085.0, 'market_share': 0.6126666666666667}"
Indirapuram,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,113.382,10.583690532888818,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.8398745686192, 'volume_index': 89.98946259220232, 'revenue': 410350.0, 'market_share': 0.5693333333333334}"
Chandni Chowk,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,109.94583999999996,10.914464794666177,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.795932790842734, 'volume_index': 90.83245521601684, 'revenue': 403742.0, 'market_share': 0.5746666666666667}"
Connaught Place,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,111.34776000000002,10.777046615037426,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.682518880067335, 'volume_index': 88.19810326659642, 'revenue': 406438.0, 'market_share': 0.5579999999999999}"
Chirag Delhi,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,97.99468000000006,12.24556271830266,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.63598442044452, 'volume_index': 84.29926238145417, 'revenue': 380759.0, 'market_share': 0.5333333333333333}"
IGI Airport,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,113.77459999999996,10.547169579150356,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.49113295968888, 'volume_index': 92.62381454162276, 'revenue': 411105.0, 'market_share': 0.586}"
Narsinghpur,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,100.64511999999999,11.92308181459767,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 58.379360452342965, 'volume_index': 88.40885142255004, 'revenue': 385856.0, 'market_share': 0.5593333333333333}"
Rithala,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,121.61204000000004,9.867444045836248,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 58.3126506705119, 'volume_index': 91.88619599578504, 'revenue': 426177.0, 'market_share': 0.5813333333333334}"
Pragati Maidan,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,180.52155072463768,6.647405781653434,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 58.147689662145154, 'volume_index': 96.94415173867228, 'revenue': 434966.0, 'market_share': 0.6133333333333334}"
Hero Honda Chowk,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,116.02880000000005,10.342259852726215,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 58.13934258155057, 'volume_index': 90.30558482613276, 'revenue': 415440.0, 'market_share': 0.5713333333333334}"
Sultanpur,59.81818181818182,Medium Priority,Selective Growth Investment,Strong presence - optimize pricing and improve service quality; High volatility - implement risk mitigation strategies,50000,121.46035294117638,9.879767108705535,Medium-term (6-12 months),High Risk,High growth volatility; Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Stable,"{'growth_index': 57.980188218348616, 'volume_index': 89.2518440463646, 'revenue': 418314.0, 'market_share': 0.5646666666666667}"
Seelampur,59.81818181818182,Medium Priority,Selective Growth Investment,Strong presence - optimize pricing and improve service quality; High volatility - implement risk mitigation strategies,50000,103.79528000000002,11.561219354097794,Medium-term (6-12 months),High Risk,High growth volatility; Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Stable,"{'growth_index': 57.89118420011957, 'volume_index': 87.67123287671232, 'revenue': 391914.0, 'market_share': 0.5546666666666666}"
Yamuna Bank,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,119.74907246376807,10.020954445079969,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 57.83682268932357, 'volume_index': 86.82824025289779, 'revenue': 393836.0, 'market_share': 0.5493333333333333}"
Gurgaon Sector 29,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,124.21201428571436,9.66090121717004,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 57.80205151655815, 'volume_index': 86.82824025289779, 'revenue': 382801.0, 'market_share': 0.5493333333333333}"
New Colony,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,123.24119999999996,9.737003534532285,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.800807463946725, 'volume_index': 92.8345626975764, 'revenue': 429310.0, 'market_share': 0.5873333333333334}"
Model Town,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,121.27958823529399,9.894492696263821,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.7988943943395, 'volume_index': 91.35932560590096, 'revenue': 395974.0, 'market_share': 0.5780000000000001}"
